|  TACT  |   AC   |   DR   |   CR   |   IP   |   AR   |
|0000088b|003D0900|003D0900|00004003|0000000B|00000003|
|00000891|003D0900|003D0900|00005002|0000000C|00000002|
|00000898|00000D36|00000D36|00004000|0000000D|00000000|
|0000089f|000037F8|00002AC2|00001004|0000000E|00000004|
|000008a5|000037F8|000037F8|00005000|0000000F|00000000|
|000008a9|00000003|00000003|00004803|00000010|0000000F|
|000008af|00000003|00000003|00005006|00000011|00000006|
|000008b6|00000003|00000003|00003006|00000013|00000006|
|000008bd|00002AC2|00002AC2|00004004|00000014|00000004|
|000008c3|00002AC2|00002AC2|00005001|00000015|00000001|
|000008ca|0000452F|0000452F|00004005|00000016|00000005|
|000008d0|0000452F|0000452F|00005004|00000017|00000004|
|000008d7|0000452F|0000452F|00004005|00000018|00000005|
|000008de|00006FF1|00002AC2|00001001|00000019|00000001|
|000008e4|00006FF1|00006FF1|00005005|0000001A|00000005|
|000008eb|00000003|00000003|00004006|0000001B|00000006|
|000008ef|00000002|0000F400|0000F400|0000001C|0000001B|
|000008f5|00000002|00000002|00005006|0000001D|00000006|
|000008f9|00000002|00000011|00006011|00000011|0000001D|
|00000900|00000002|00000002|00003006|00000013|00000006|
|00000907|0000452F|0000452F|00004004|00000014|00000004|
|0000090d|0000452F|0000452F|00005001|00000015|00000001|
|00000914|00006FF1|00006FF1|00004005|00000016|00000005|
|0000091a|00006FF1|00006FF1|00005004|00000017|00000004|
|00000921|00006FF1|00006FF1|00004005|00000018|00000005|
|00000928|0000B520|0000452F|00001001|00000019|00000001|
|0000092e|0000B520|0000B520|00005005|0000001A|00000005|
|00000935|00000002|00000002|00004006|0000001B|00000006|
|00000939|00000001|0000F400|0000F400|0000001C|0000001B|
|0000093f|00000001|00000001|00005006|0000001D|00000006|
|00000943|00000001|00000011|00006011|00000011|0000001D|
|0000094a|00000001|00000001|00003006|00000013|00000006|
|00000951|00006FF1|00006FF1|00004004|00000014|00000004|
|00000957|00006FF1|00006FF1|00005001|00000015|00000001|
|0000095e|0000B520|0000B520|00004005|00000016|00000005|
|00000964|0000B520|0000B520|00005004|00000017|00000004|
|0000096b|0000B520|0000B520|00004005|00000018|00000005|
|00000972|00012511|00006FF1|00001001|00000019|00000001|
|00000978|00012511|00012511|00005005|0000001A|00000005|
|0000097f|00000001|00000001|00004006|0000001B|00000006|
|00000983|00000000|0000F400|0000F400|0000001C|0000001B|
|00000989|00000000|00000000|00005006|0000001D|00000006|
|0000098d|00000000|00000011|00006011|00000011|0000001D|
|00000994|00000000|00000000|00003006|00000012|00000006|
|00000998|00000000|0000001E|0000601E|0000001E|00000012|
|0000099b|00000000|0000F000|0000F000|0000001F|0000001E|
|000009a2|003D0900|003D0900|00004002|00000020|00000002|
|000009a9|003C53E0|0000B520|00002004|00000021|00000004|
|000009af|003C53E0|003C53E0|00005002|00000022|00000002|
|000009b3|003C53E0|00000008|00006008|00000008|00000022|
|000009ba|003C53E0|003C53E0|00003002|0000000A|00000002|
|000009c1|003D0900|003D0900|00004003|0000000B|00000003|
|000009c7|003D0900|003D0900|00005002|0000000C|00000002|
|000009ce|000037F8|000037F8|00004000|0000000D|00000000|
|000009d5|0000ED18|0000B520|00001004|0000000E|00000004|
|000009db|0000ED18|0000ED18|00005000|0000000F|00000000|
|000009df|00000003|00000003|00004803|00000010|0000000F|
|000009e5|00000003|00000003|00005006|00000011|00000006|
|000009ec|00000003|00000003|00003006|00000013|00000006|
|000009f3|0000B520|0000B520|00004004|00000014|00000004|
|000009f9|0000B520|0000B520|00005001|00000015|00000001|
|00000a00|00012511|00012511|00004005|00000016|00000005|
|00000a06|00012511|00012511|00005004|00000017|00000004|
|00000a0d|00012511|00012511|00004005|00000018|00000005|
|00000a14|0001DA31|0000B520|00001001|00000019|00000001|
|00000a1a|0001DA31|0001DA31|00005005|0000001A|00000005|
|00000a21|00000003|00000003|00004006|0000001B|00000006|
|00000a25|00000002|0000F400|0000F400|0000001C|0000001B|
